restaurant_name_he,address_he,city_he,city_en,phone,business_type_he,diet_type,certifier_ids,corroboration_count,source_documents,source_date,record_state,needs_review,notes,dedupe_hash_sha256
מורדי'ס,בר יוחאי 1,צפת,Safed,0534520530,מסעדות ומזנונים,,landa_bnei_brak,3,landa_restaurants_elul_5786;landa_vacation_cities_poster;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,cba9eba8b677ed209037b38d2f0459ec6d6321dd7aa3ab1e990f817353c9b80f
מטעמים,מיכאל 7,חיפה,Haifa,0774604684,"קייטרינג בשרי,מסעדות ומזנונים,מעדניות",meat,landa_bnei_brak,3,landa_restaurants_elul_5786;landa_vacation_cities_poster;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,39bf7987b6ba5ded1da3f8809b44a890af4f79c89426d86a040f8d472057f38b
מנטה בייגל,ירושלים 23,בני ברק,Bnei Brak,036164990,"קייטרינג חלבי,מסעדה חלבית",dairy,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,0666ff66dc39bef732f05e89419189ac3b026c5213f3384ae330113fc8723db8
מסובין,שדרות יגאל אלון 2,בית שמש,Beit Shemesh,029911778,מסעדות ומזנונים,,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,d0298febe423bc3dc6bf5be1a7ed2e20bd6cc467379849008e44f0eb50713f8b
מעדני פרידמן,"ראב""ד 32",בני ברק,Bnei Brak,035796826,מעדניות,,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,8a280438c61b2b2f37b1b9bbc610fbe6dc7c82b8382bec3143a7fa83f747a280
"מעדני ש""פ","ראב""ד 26",בני ברק,Bnei Brak,,"מסעדות ומזנונים,מעדניות",,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,b5504fe2b8c8daac7c3bc2ac877cc7fa8ed33027928a679876d3c22b92258d1e
משולשים אקספרס,שדרות האמוראים 26,בית שמש,Beit Shemesh,,מסעדה חלבית,dairy,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,48e64b0471457a42f0665ec9d31349efa5ccc6eb74d8ca89217994497d2ac618
משולשים אקספרס,"הר""ן 7",ביתר עילית,Beitar Illit,,מסעדה חלבית,dairy,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,480e42f00d49f8d1eed4deb110395f444df788666ef7af91f25a33fb18ac8d52
משולשים אקספרס,יגאל אלון 6,בית שמש,Beit Shemesh,,מסעדה חלבית,dairy,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,cbb0e0daae742ed3a6c0acdd79be45ee5f0b86d41f08808454cdb13847269779
משולשים אקספרס,נחל שורק 48,בית שמש,Beit Shemesh,,מסעדה חלבית,dairy,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,20609a216824bb04ab806a6f47d21d62e82a9cc6b20acdbd56f7b5e7f8bd42fa
סול - מסעדת דגים ובשרים,מדרחוב הבנים,טבריה,Tiberias,0747978770,מסעדות ומזנונים,,landa_bnei_brak,3,landa_restaurants_elul_5786;landa_vacation_cities_poster;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,7a175c7086e197c3f87951f05f3929424b27ebc9195a58c049d42d65890da622
פינת הגלידה,כהנמן 107,בני ברק,Bnei Brak,,מסעדה חלבית,dairy,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,4961af963c491fe59bbdca4ba676c2c6588cf6b5bdd543c025fb8027ea20dd38
פינת הגלידה,אהרונוביץ 10,בני ברק,Bnei Brak,035796515,מסעדה חלבית,dairy,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,498682f5a0e33754f30f49818605cefcdfcbc23f008af64fcea88dc08fb7a7f4
פינת הגלידה,רבי יהודה הנשיא 94,אלעד,Elad,039329555,מסעדה חלבית,dairy,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,8ab47ea43e7511630ef02d3d9b8b9c24ef424268c9fb943236bdcfa46944315b
פינת הגלידה,שדרות האמוראים 2,בית שמש,Beit Shemesh,,מסעדה חלבית,dairy,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,e7926e59e5a021b1e395a655a4994f9b4f9c98916086b242f371774eec0465ff
פיצה ועוד בטאבון,זבוטינסקי 134,בני ברק,Bnei Brak,036484827,מסעדה חלבית,dairy,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,bd86a9c5c7bdabae9bcb71b9fcd095ce1e51f2efc9c2532821b1d74f4aada519
פלאפל רבי עקיבא - גריל בשרים,רבי עקיבא 31,בני ברק,Bnei Brak,036428540,מסעדות ומזנונים,,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,56533ecafd38ea3c89d8c658b0dcc96bcc3b4c6c743b51f248c33f4f6ac59ace
פקורינו - מסעדה חלבית וקייטרינג,יצחק בן צבי 1,טבריה,Tiberias,046735111,"קייטרינג חלבי,מסעדה חלבית",dairy,landa_bnei_brak,3,landa_restaurants_elul_5786;landa_vacation_cities_poster;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,e4cc9d3e5a095e606e949e2705933d47a1a4c47933e5f6711bec7ce7e87c0df2
צלילי האש,זבוטינסקי 100,בני ברק,Bnei Brak,,מסעדות ומזנונים,,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,76ad356b626c57aa5cd022a7334332df56aab3cd9ac057fac252cf5a373c66eb
שאבעס ביג - מחלקת אוכל מוכן פתוח,בן יעקב 26,בני ברק,Bnei Brak,0527153753,"מסעדות ומזנונים,מעדניות",,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,c9c5bc5c9f28a71580ef0fb2487a6da4516a0ff10c9c998bd96ae357088b7beb
שווארמה פלאפל רבי עקיבא,שמעון בן שטח 8,אלעד,Elad,036586777,מסעדות ומזנונים,,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,12ff51c1db658b34b33d2b40638c6f0387beab0403df74cbb4efa386d3631120
שטיסל,בר יוחאי 4,בני ברק,Bnei Brak,036777990,"קייטרינג בשרי,מסעדות ומזנונים",meat,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,ab3ee6b88e903aa529d2bfa2e6f2dfd9e2fd2155f47fd5ced4de0ee7de34d7a0
שטיסל,הרב שך 14,בני ברק,Bnei Brak,035706005,מסעדות ומזנונים,,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,b7ffb4d5c80613f020a149b5b4bfc8da9d121715a603ee96408bb64b278c3bea
שניצל וולנו,מצדה 6,בני ברק,Bnei Brak,039027778,מסעדות ומזנונים,,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,7dda659860735ac0e5575255e65956574ec0054f4ba08a62e85ae99be3430c25
שניצלשף,ירושלים 8,בני ברק,Bnei Brak,035084881,מסעדות ומזנונים,,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,446f7f61ea8d8608a0132c78bcace3f03a760124859b7174a40443a835a3e3ef
שפסל בשטייטל,הלפרין 10,בני ברק,Bnei Brak,,מעדניות,,landa_bnei_brak,2,landa_restaurants_elul_5786;rabbanut_bb_kitchens_pdf,Elul 5786 (Aug-Sep 2026),LIST_VERIFIED,FALSE,,a70039814537f808bbb59fb6dec9b2e03f5314a15ac39c225c9bf78ac76ede23
בית מאפה למהדרין,אליהו גולומב 14,אופקים,Ofakim,089926376,מאפייה פרוה/חלבי,dairy_pareve,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,f745b249999324cc3b21bc197eab4fea995c58d04b3d506e899d49a480603710
קצפת,"צה""ל 1",אשדוד,Ashdod,,גלידריה,dairy,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,499a39f183cdd256ab60bcbcdaa026112aaf16cb4bb4b5255e3596f0477df166
פיצה בואנו,הרב מנחם פורוש 1 קניון השדרה,בית שמש,Beit Shemesh,025445888,פיצה,dairy,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,061a4ac9b66763577b309d413b67e051bab9e5aa54790f12d75e299ba8f33c39
ג'לטו,הרב מנחם פורוש 1 קניון השדרה,בית שמש,Beit Shemesh,0526425056,גלידריה חלבי/פרווה,dairy_pareve,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,3034964d0e025a1841c3a1d5e690f40157710db96d486345d4855ca782b78aeb
סושי טוקיו,נחל ניצנים 8,בית שמש,Beit Shemesh,0765403667,סושי פרווה,pareve,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,2813a29028577422b6caffefaef2cc1e8acee8fc9c9809d4a8c1d7fb4336bef3
גלידלנד,נחל ניצנים 16,בית שמש,Beit Shemesh,,גלידריה,dairy,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,745d295a2f8fe162eeeedfed819f62c135f60b4743eff0bda0063ab63d5b004b
קצפת,נחל קישון 48,בית שמש,Beit Shemesh,,גלידריה,dairy,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,83ed1557d816fc0241693e576e98ab6cd0d335d7bcefd0e5c04fa73050693db4
מאפיית חלת הבית,נחל ניצנים 3,בית שמש,Beit Shemesh,,מאפייה פרוה/חלבי,dairy_pareve,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,77a4a49eaec85a9161038c532018c048ba660e6e691a099d31273d62c29a76c9
פיצה האט,יצחק רבין 13,בית שמש,Beit Shemesh,1700506070,פיצה,dairy,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,f5ba97a40eab199e4517c295962f03485b91c11722bb8fd89272ce6a20b7b3c2
וופל בר,יגאל אלון 6,בית שמש,Beit Shemesh,,מסעדה חלבית,dairy,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,366e347aa93b8c20e930fc224601db771318564f3ca35c5fae0ae984d120f1f3
מיסטר מיט,יחזקאל הנביא 22,בית שמש,Beit Shemesh,026258858,בשרי,meat,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,8ad0247f2f2b99a7b3d9bbfb22a4b07e0e322e896c3e5f5ff4bc6a86420d970a
מאפיית חלת הבית,משה רבינו 2,בית שמש,Beit Shemesh,025439047,מאפייה פרוה/חלבי,dairy_pareve,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,ee965bfb6b44690e2dbfc927a3c42714a742fb86fcc0710578b92658ef33fd85
חומוס אליהו,יגאל אלון 2,בית שמש,Beit Shemesh,025782197,חומוס,,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,4f991c7206f12986899005c996e0bed03efdc0fb341a7536303d9bb57b29a0ef
קצפת,יגאל אלון 6,בית שמש,Beit Shemesh,,גלידריה,dairy,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,f999fc026f07e6b3d2ec97d60cdfbe912bb97adc79bc110bb2d2dc92a34e3d94
הולי בייגל,נחל דולב 19,בית שמש,Beit Shemesh,029993121,מסעדה חלבי,dairy,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,2e56b3dcec8c94a5ffe271b5d341d2e5473490252253ec71dd9d80e792f4b4a7
פיצה כמעט חינם,חלקת יהושע 10,בית שמש,Beit Shemesh,025661615,פיצה,dairy,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,6faf9c7761dc35209e9225646de5246bfd747e14599e1068a7ad9f6d9a42d932
מאפיית חלת הבית,שד' האומראים 24,בית שמש,Beit Shemesh,026405555,מאפייה פרוה/חלבי,dairy_pareve,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,b2350f380d30dc3f349c73444b06f009457da1500d6c288a7a5b7305438a1347
סמוקין טיז,שד' האומראים 2,בית שמש,Beit Shemesh,0522926128,מסעדה בשרית/סושי,meat,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,cb33c4d67163d37585318733054aeea9ee88db10abd227923ce97e37f6d7dc47
מאפיית הלל,הכינור 15,גבעת זאב,Givat Ze'ev,,מאפייה פרוה/חלבי,dairy_pareve,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,247c9acc6b4e7f876e7d76425f61c09765e86890a8de61e4f23056c9e042d0df
היימיש סושי,פנים מאירים 3,ביתר עילית,Beitar Illit,0527164224,סושי,,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,56747b59f0bad007f76a2d54c7caa7490eebdf21113a3f57824fdb5ca1b2739b
תמר,רבי עקיבא 23,ביתר עילית,Beitar Illit,0548562362,מגשי אירוח וקינוחים חלבי,dairy,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,8fe98a006cebcb6d25668419710f3683bc1abe9af981a970f1d2af937de90abd
מאפיית מן הארץ,אלעזר המודעי 17,ביתר עילית,Beitar Illit,,מאפייה פרוה/חלבי,dairy_pareve,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,8f7506651fcb0f64e6873e08985bac28b2cbe2c4a3bf9a17e79857abd46184df
קצפת,בנין דוד 8,ביתר עילית,Beitar Illit,,גלידריה,dairy,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,595a3775eaef9b30c3b82802cb86f142a61e12e0cccae8e1cbc88a7c99ce09ed
יוסלה,"הר""ן 14",ביתר עילית,Beitar Illit,025950111,בשרי,meat,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,ac141ceaa9d4166a95744d4af988e54b1eecbda3c4e88cc2c3f994f0df23c83b
פיצה האט,הרב ברים 4,ביתר עילית,Beitar Illit,1700506070,פיצה,dairy,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,e68efc436ad905141f3eb372263f98d623ccf790f1cceee231f82368b4629e91
פיצה האט,ז'בוטינסקי 2,בני ברק,Bnei Brak,1700506070,פיצה,dairy,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,4b24dde705ea0a9406455d39b1870e75915c189c78f6a3b29ed3dc7eab71c0df
זיסלק,רבי עקיבא 76,בני ברק,Bnei Brak,,גלידריה,dairy,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,c730d37d7a82ef65c2efd094cb9cc5155b6613383e69a2575d4e39c1dcacd823
מושיקו מבית מונטה קרלו,אברבנאל 72,בני ברק,Bnei Brak,0534521972,שנצליה,,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,b3071fb186b5103ec62223b5b170fe3b64fbeb169b7b544e05e800284d7b5ca8
פיצוחי אביב,אברבנאל 72,בני ברק,Bnei Brak,,פיצוחים/תבלינים,,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,e581523286ed438552aeae0c74b3c9ae0139ad8490fcd5e5fb8e4322b9143e01
טייסטי מיט,הרב קוק 4,בני ברק,Bnei Brak,038020700,טוסט נקניק בשרי,meat,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,de5335004a7a06b0c4211807f048a146f0868a29e3d2ada9f4d1e7e21022f954
קצפת,זבוטינסקי 9 מגדל הכשרת היישוב,בני ברק,Bnei Brak,,גלידריה,dairy,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,5989961079df23c2f57010fe8f90273c5129f26ede5ecb95c3c3324574da940b
פיצה טוונטי פייב,הרב כהנמן 100,בני ברק,Bnei Brak,035292529,פיצה,dairy,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,ccf761ca46573ab74f0977cad27935c2e83dc53df706acfcbd8190383db789a5
מסעדת פרמזן,מצדה 9 ב',בני ברק,Bnei Brak,037295700,מסעדה חלבית,dairy,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,09e23426fb26c98bb70e9b13bf9953a1a0f11aea12ae1e91df9f1c5f6b30bea0
קצפת,זבוטינסקי 514,גבעת שמואל,Givat Shmuel,036767780,גלידריה,dairy,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,3b7d6bd2c010b36f6aecde07aef5242bcf8e17b87447355c038894cafe6a608a
וי אר בית מאפה,האצטדיון 25 קרית חיים,חיפה,Haifa,046329165,מאפייה פרוה/חלבי,dairy_pareve,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,9e20a5cedf5a57f5e23e523315301989f962433910e1e90dbb38a5c135c5f81e
ויינר איטליאנו,האצטדיון 25 קרית חיים,חיפה,Haifa,046329165,מסעדה חלבית,dairy,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,21db88721552b25af1a11bb7e1a0ab148866698db04a85ed93772928651baddc
פיצה העמק,בן גוריון 9,חצור הגלילית,Hatzor HaGlilit,049577011,פיצה,dairy,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,7d116f2c8214f83e68dce2b76e1faa21a42ee606580c9c39ec56c0e8ff2a20f5
פיצוחי הגליל כהן,מעלה חוני המעגל 38,חצור הגלילית,Hatzor HaGlilit,,פיצוחים/תבלינים,,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,6dfcb9154775c896ed40bb61567517f3546a51ce2017c0003204aec8ac4944a7
קצפת,שד' הרצל 102 בית הכרם,ירושלים,Jerusalem,,גלידריה,dairy,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,c5682801511c088298cd3b9a5f512bc868ab0e9c819674893602014b678482c9
מאפיית לחם פיינגולד,עוזיאל 92 בית וגן,ירושלים,Jerusalem,,בית קפה חלבי/פרווה,dairy_pareve,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,fe4e3a229d413b6bdf2d66cacfedeecd63303a13e1cb7a3388a4df07c3b4993e
סושי בית וגן,הפסגה 37 בית וגן,ירושלים,Jerusalem,025901155,סושי,,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,fc785006fa415609b30f83a2635b425c8115d5a8dcd4291994dc5e915a3ad51d
מזנון הפסגה,הפסגה 23 בית וגן,ירושלים,Jerusalem,026429240,בשרי,meat,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,8c62534c931af7f549dcb5bd1683ec3d10248900307b32733718d91774320d46
קצפת,ישראל זנגוויל 1 בית וגן,ירושלים,Jerusalem,,גלידריה,dairy,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,3375561e54c9258d76ea1faebdbed1098122fc83192f2c0dde90eea6b11d89c3
נוגטין,עוזיאל 28 בית וגן,ירושלים,Jerusalem,026421242,מסעדה חלבי,dairy,badatz_mehadrin_rubin,1,rubin_restaurants_pdf,5786 (2026),LIST_VERIFIED,FALSE,,96b364172fe5a1c5f5883bc85e772b0017a2a84fbfd7b3aafb4e594d8a51312e
