row_number,restaurant_name_he,city_he,city_en,current_address_he,google_address_he,verdict,verdict_note,evidence_url,corroborating_urls,candidates,needs_review,search_note
23,משולשים אקספרס,בית שמש,Beit Shemesh,שדרות האמוראים 26,,AMBIGUOUS,,,,"שדרות יגאל אלון 6, בית שמש (https://easy.co.il/en/page/26327157); נחל קישון 48, בית שמש (https://www.d.co.il/80303180/39460/)",FALSE,chain has multiple Beit Shemesh branches; no listing found matching corpus street (שדרות האמוראים 26)
24,משולשים אקספרס,ביתר עילית,Beitar Illit,"הר""ן 7","הר""ן 7, ביתר עילית",SAME,,https://www.d.co.il/80316704/39460/,https://easy.co.il/en/page/10060509,,FALSE,
25,משולשים אקספרס,בית שמש,Beit Shemesh,יגאל אלון 6,,AMBIGUOUS,,,,"שדרות יגאל אלון 6, בית שמש (https://easy.co.il/en/page/26327157); נחל קישון 48, בית שמש (https://www.d.co.il/80303180/39460/)",FALSE,"chain has multiple Beit Shemesh branches; one candidate matches corpus address exactly, but rule requires reporting all branches, not picking"
26,משולשים אקספרס,בית שמש,Beit Shemesh,נחל שורק 48,,AMBIGUOUS,,,,"שדרות יגאל אלון 6, בית שמש (https://easy.co.il/en/page/26327157); נחל קישון 48, בית שמש (https://www.d.co.il/80303180/39460/)",FALSE,"chain has multiple Beit Shemesh branches; corpus street 'נחל שורק' vs found 'נחל קישון' - possible name confusion, flagging rather than guessing"
27,סול - מסעדת דגים ובשרים,טבריה,Tiberias,מדרחוב הבנים,"הבנים 17, בטבריה",SAME,house number missing on one side; compared on street name only,https://www.d.co.il/80383884/30420/,https://www.soltiberias.co.il/,,FALSE,
28,פינת הגלידה,בני ברק,Bnei Brak,כהנמן 107,"כהנמן 107, בני ברק",SAME,,https://www.10bis.co.il/next/restaurants/menu/delivery/42209/%D7%A4%D7%99%D7%A0%D7%AA-%D7%94%D7%92%D7%9C%D7%99%D7%93%D7%94-%D7%9B%D7%94%D7%A0%D7%9E%D7%9F-107,https://wolt.com/en/isr/tel-aviv/restaurant/pinat-haglida-kahanman-107,,FALSE,"chain has multiple Bnei Brak branches (Rabbi Akiva 67, Aharonovitz 12, Rimonim center); this listing specifically confirms Kahaneman 107"
29,פינת הגלידה,בני ברק,Bnei Brak,אהרונוביץ 10,"אהרונוביץ' 12, מרכז רימונים, בני ברק",CHANGED_NUMBER,,https://il.near-place.com/pynt-hglydh-mrkz-rymwnym-hrwnwbyz-12-bny-brq,https://www.instagram.com/pinathaglida/; https://www.10bis.co.il/next/restaurants/menu/delivery/29016/%D7%A4%D7%99%D7%A0%D7%AA-%D7%94%D7%92%D7%9C%D7%99%D7%93%D7%94-%D7%9E%D7%A8%D7%9B%D7%96-%D7%A8%D7%99%D7%9E%D7%95%D7%A0%D7%99%D7%9D,,FALSE,corpus house number 10 vs listing 12 (Rimonim center branch); chain has multiple Bnei Brak branches
30,פינת הגלידה,אלעד,Elad,רבי יהודה הנשיא 94,"יהודה הנשיא 94, אלעד",SAME,one source names the street more fully than the other,https://www.d.co.il/80269522/9010163/,https://easy.co.il/en/page/10016841; https://www.kosharot.co.il/index2.php?id=440629&lang=HEB,,FALSE,
31,פינת הגלידה,בית שמש,Beit Shemesh,שדרות האמוראים 2,,NOT_FOUND,,,,,FALSE,"no Beit Shemesh branch of this chain found in two searches; chain confirmed only in Bnei Brak, Elad, Jerusalem"
32,פיצה ועוד בטאבון,בני ברק,Bnei Brak,זבוטינסקי 134,"ז'בוטינסקי 134, בני ברק",SAME,,https://www.kosharot.co.il/index2.php?id=436575&lang=HEB,https://www.mishloha.co.il/r/%D7%A4%D7%99%D7%A6%D7%94%20%D7%95%D7%A2%D7%95%D7%93%20%D7%91%D7%98%D7%90%D7%91%D7%95%D7%9F%20%D7%91%D7%A0%D7%99%20%D7%91%D7%A8%D7%A7; https://www.10bis.co.il/next/restaurants/menu/delivery/41961/%D7%A4%D7%99%D7%A6%D7%94-%D7%95%D7%A2%D7%95%D7%93%D7%91%D7%98%D7%90%D7%91%D7%95%D7%9F,,FALSE,
33,פלאפל רבי עקיבא - גריל בשרים,בני ברק,Bnei Brak,רבי עקיבא 31,"רבי עקיבא 31, בני ברק",SAME,,https://www.d.co.il/80164977/30457/,https://easy.co.il/en/page/20854159; https://rest.jdn.co.il/rest/769/,,FALSE,
34,פקורינו - מסעדה חלבית וקייטרינג,טבריה,Tiberias,יצחק בן צבי 1,"בן צבי 1, טבריה",SAME,one source names the street more fully than the other,https://www.d.co.il/80368772/39460/,https://www.rest.co.il/rest/80368772/,,FALSE,phone in search result (053-9379475) differs from corpus phone (04-6735111); address matches
35,צלילי האש,בני ברק,Bnei Brak,זבוטינסקי 100,"ז'בוטינסקי 100, בני ברק",SAME,,https://www.d.co.il/80272491/30445/,https://easy.co.il/page/26386879; https://www.kosharot.co.il/index2.php?id=412944&lang=HEB,,FALSE,
36,שאבעס ביג - מחלקת אוכל מוכן,בני ברק,Bnei Brak,בן יעקב 26,"בן יעקב 26, בני ברק",SAME,,https://www.kosharot.co.il/index2.php?id=440678&lang=HEB,,,FALSE,
37,קברנה,ירושלים,Jerusalem,שבתי חזקיה 31,,NOT_FOUND,,,,,FALSE,found a 'קברנה אירועים' catering review listing but no address given; could not confirm same business
38,רויאל,בני ברק,Bnei Brak,שלמה המלך 31,"שלמה המלך 31, בני ברק",SAME,,https://www.ulam.co.il/listing/royal/,https://www.b144.co.il/b144_sip/401D0D1A4370655D4B10031544/,,FALSE,
39,שאבעס ביג - מחלקת אוכל מוכן,בני ברק,Bnei Brak,בן יעקב 26,"בן יעקב 26, בני ברק",SAME,,https://www.kosharot.co.il/index2.php?id=440678&lang=HEB,,,FALSE,duplicate input row of row 36
40,"שביט - לכבוד שבת ויו""ט",בני ברק,Bnei Brak,"רש""י 24",,NOT_FOUND,,,,,FALSE,no listing found for this business name after two searches
41,שווארמה פלאפל רבי עקיבא,אלעד,Elad,שמעון בן שטח 8,,NOT_FOUND,,,,,FALSE,corpus phone number now shows in results attributed to a differently-named business (שווארמה לב בשר) in Elad; no listing found confirming this business name/address
42,שטיסל,בני ברק,Bnei Brak,בר יוחאי 4,"בר יוחאי 4 (פינת השומר 94), בני ברק",SAME,,https://rest.jdn.co.il/rest/776/,https://www.2eat.co.il/restaurant.aspx?restid=13774,,FALSE,chain has two Bnei Brak branches (Bar Yochai 4 and Rav Shach 14); this listing confirms the Bar Yochai branch specifically
43,שטיסל,בני ברק,Bnei Brak,הרב שך 14,"הרב ש""ך 14, בני ברק",SAME,,https://www.d.co.il/26169100/30450/,https://rest.jdn.co.il/rest/774/,,FALSE,chain has two Bnei Brak branches; this listing confirms the Rav Shach branch specifically
44,שניצל וולנו,בני ברק,Bnei Brak,מצדה 6,,NOT_FOUND,,,,,FALSE,business listing found on 10bis delivery platform but street address not visible in search results (JS-rendered page); could not confirm Matzada 6
45,שניצלשף,בני ברק,Bnei Brak,ירושלים 8,"ירושלים 8, בני ברק",SAME,,https://easy.co.il/page/10115295,https://www.t.co.il/Business/Card-776145.html; https://wolt.com/en/isr/tel-aviv/restaurant/schnitzel-chef,,FALSE,
46,שפסל בשטייטל,בני ברק,Bnei Brak,הלפרין 10,,NOT_FOUND,,,,,FALSE,no matching listing found after two searches; only unrelated businesses on Halperin St. found
47,בית מאפה למהדרין,אופקים,Ofakim,אליהו גולומב 14,"אליהו גולומב 14, אופקים",SAME,,https://easy.co.il/page/3473864,https://www.d.co.il/19191740/22590/,,FALSE,
48,קצפת,אשדוד,Ashdod,"צה""ל 1","צה""ל 1, אשדוד",SAME,,https://www.d.co.il/80366320/9010163/,https://www.kosharot.co.il/index2.php?id=432542&lang=HEB,,FALSE,
49,פיצה בואנו,בית שמש,Beit Shemesh,הרב מנחם פורוש 1 קניון השדרה,"הרב מנחם פורוש 1, קניון השדרה, בית שמש",SAME,,https://www.dunsguide.co.il/C02917d03ccb5f23cc2f7d50fc0ab98bb_%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA/%D7%A4%D7%99%D7%A6%D7%94_%D7%91%D7%95%D7%90%D7%A0%D7%95/,https://wolt.com/en/isr/beit-shemesh-area/restaurant/pizza-boeno; https://www.instagram.com/p/DYjpP9ts9qj/,,FALSE,
50,ג'לטו,בית שמש,Beit Shemesh,הרב מנחם פורוש 1 קניון השדרה,,NOT_FOUND,,,,,FALSE,no listing for a business named ג'לטו at this mall found after two searches; only an unrelated gelato brand ('אייס') found in the mall directory
51,סושי טוקיו,בית שמש,Beit Shemesh,נחל ניצנים 8,"נחל ניצנים 8, בית שמש",SAME,,https://easy.co.il/en/page/27309976,https://www.d.co.il/80373580/30456/; https://www.kosharot.co.il/index2.php?id=436446&lang=HEB,,FALSE,
52,גלידלנד,בית שמש,Beit Shemesh,נחל ניצנים 16,"נחל ניצנים 16, בית שמש",SAME,,https://www.kosharot.co.il/index2.php?id=400025&lang=HEB,https://www.d.co.il/80262552/30180/; https://openinghours.co.il/%D7%92%D7%9C%D7%99%D7%93%D7%9C%D7%A0%D7%93-%D7%A0%D7%97%D7%9C-%D7%A0%D7%99%D7%A6%D7%A0%D7%99%D7%9D-16-%D7%91%D7%99%D7%AA-%D7%A9%D7%9E%D7%A9,,FALSE,one listing (d.co.il) describes this name/address as event-equipment rental rather than an ice cream parlor; other kosher-directory listings confirm an ice cream parlor at the same name/address
53,קצפת,בית שמש,Beit Shemesh,נחל קישון 48,"שדרות נחל הקישון 48, בית שמש",SAME,,https://easy.co.il/en/page/27031931,https://www.kosharot.co.il/index2.php?id=436437&lang=HEB; https://rest.jdn.co.il/rest/1512/,,FALSE,
54,מאפיית חלת הבית,בית שמש,Beit Shemesh,נחל ניצנים 3,,AMBIGUOUS,,,,"הרצל 9, בית שמש (https://www.d.co.il/80106597/22620/); שד' האומראים 24, בית שמש (רמת בית שמש) (https://www.d.co.il/80365316/22620/); יחזקאל הנביא, בית שמש (https://www.waze.com/live-map/directions/%D7%9E%D7%90%D7%A4%D7%99%D7%99%D7%AA-%D7%97%D7%9C%D7%AA-%D7%94%D7%91%D7%99%D7%AA-%D7%99%D7%97%D7%96%D7%A7%D7%90%D7%9C-%D7%94%D7%A0%D7%91%D7%99%D7%90-%D7%91%D7%99%D7%AA-%D7%A9%D7%9E%D7%A9?to=place.w.22937917.229248098.434090)",FALSE,chain with multiple branches in Beit Shemesh; corpus address (Nachal Nitzanim 3) not directly confirmed on any listing page found
55,פיצה האט,בית שמש,Beit Shemesh,יצחק רבין 13,"יצחק רבין 13, בית שמש",SAME,,https://pizzadelivery.co.il/%D7%A4%D7%99%D7%A6%D7%94-%D7%94%D7%90%D7%98-%D7%91%D7%99%D7%AA-%D7%A9%D7%9E%D7%A9/,https://www.pizzahut.co.il/branch/%D7%91%D7%99%D7%AA-%D7%A9%D7%9E%D7%A9/,,FALSE,
56,וופל בר,בית שמש,Beit Shemesh,יגאל אלון 6,"שד' יגאל אלון 6, בית שמש",SAME,,https://www.rest.co.il/rest/80247790/,https://www.d.co.il/80247790/8930/,,FALSE,
57,מיסטר מיט,בית שמש,Beit Shemesh,יחזקאל הנביא 22,"רחוב יחזקאל, בית שמש (מרכז מסחרי)",SAME,one source names the street more fully than the other; house number missing on one side; compared on street name only,https://418.co.il/?p=15566,https://www.kosharot.co.il/index2.php?id=440431&lang=HEB,,FALSE,local news article names street (Yechezkel) but not confirmed house number 22
58,מאפיית חלת הבית,בית שמש,Beit Shemesh,משה רבינו 2,,AMBIGUOUS,,,,"הרצל 9, בית שמש (https://www.d.co.il/80106597/22620/); שד' האומראים 24, בית שמש (רמת בית שמש) (https://www.d.co.il/80365316/22620/); יחזקאל הנביא, בית שמש (https://www.waze.com/live-map/directions/%D7%9E%D7%90%D7%A4%D7%99%D7%99%D7%AA-%D7%97%D7%9C%D7%AA-%D7%94%D7%91%D7%99%D7%AA-%D7%99%D7%97%D7%96%D7%A7%D7%90%D7%9C-%D7%94%D7%A0%D7%91%D7%99%D7%90-%D7%91%D7%99%D7%AA-%D7%A9%D7%9E%D7%A9?to=place.w.22937917.229248098.434090)",FALSE,chain with multiple branches in Beit Shemesh; corpus address (Moshe Rabbeinu 2) not among branches confirmed on listings found
59,חומוס אליהו,בית שמש,Beit Shemesh,יגאל אלון 2,"שד' יגאל אלון 2, בית שמש",SAME,,https://www.d.co.il/80330696/30457/,https://www.t.co.il/Business/Card-780230.html,,FALSE,
60,קצפת,בית שמש,Beit Shemesh,יגאל אלון 6,,AMBIGUOUS,,,,"שד' יגאל אלון 6, בית שמש (https://www.d.co.il/80259807/9010163/); קניון שער העיר, בית שמש (https://rest.jdn.co.il/rest/1505/); נחל קישון 48, בית שמש (https://www.b144.co.il/b144_sip/4A1404134470655D49160D174472675E49/)",FALSE,chain (Katsefet) with multiple branches in Beit Shemesh
61,דובי דגים,בית שמש,Beit Shemesh,נחל ניצנים 8,"נחל ניצנים 8, בית שמש",SAME,,https://www.d.co.il/77257320/11660/,https://easy.co.il/page/24358412,,FALSE,
62,הולי בייגל,בית שמש,Beit Shemesh,נחל דולב 19,"נחל דולב 19, בית שמש",SAME,,https://www.d.co.il/80192339/8930/,https://www.holybagel-j.co.il/%D7%94%D7%95%D7%9C%D7%99-%D7%91%D7%99%D7%99%D7%92%D7%9C-%D7%91%D7%99%D7%AA-%D7%A9%D7%9E%D7%A9/,,FALSE,
63,פיצה כמעט חינם,בית שמש,Beit Shemesh,חלקת יהושע 10,,AMBIGUOUS,,,,"הרצל 37, בית שמש (https://www.d.co.il/80344308/39460/); רמת בית שמש (פיצריה) - כולל אזור חלקת יהושע (https://www.rest.co.il/rest/80346373/); הרצל 5, בית שמש (https://www.badatz.biz/biz/%D7%A4%D7%99%D7%A6%D7%94-%D7%9B%D7%9E%D7%A2%D7%98-%D7%97%D7%99%D7%A0%D7%9D-%D7%91%D7%99%D7%AA-%D7%A9%D7%9E%D7%A9/)",FALSE,chain with multiple branches in Beit Shemesh; corpus address not clearly pinned to one listing
64,מאפיית חלת הבית,בית שמש,Beit Shemesh,שד' האומראים 24,,AMBIGUOUS,,,,"הרצל 9, בית שמש (https://www.d.co.il/80106597/22620/); שד' האומראים 24, בית שמש (רמת בית שמש) (https://www.d.co.il/80365316/22620/); יחזקאל הנביא, בית שמש (https://www.waze.com/live-map/directions/%D7%9E%D7%90%D7%A4%D7%99%D7%99%D7%AA-%D7%97%D7%9C%D7%AA-%D7%94%D7%91%D7%99%D7%AA-%D7%99%D7%97%D7%96%D7%A7%D7%90%D7%9C-%D7%94%D7%A0%D7%91%D7%99%D7%90-%D7%91%D7%99%D7%AA-%D7%A9%D7%9E%D7%A9?to=place.w.22937917.229248098.434090)",FALSE,chain with multiple branches in Beit Shemesh; Ha'Amoraim 24 candidate matches corpus but not confirmed via exact street text on the listing page
65,סמוקין טיז,בית שמש,Beit Shemesh,שד' האומראים 2,"נחל דולב 56, בית שמש",CHANGED_BOTH,,https://www.d.co.il/80373686/35790/,https://www.rest.co.il/rest/80373686/,,FALSE,"only one address found on listings, differs from corpus address"
66,מאפיית הלל,גבעת זאב,Givat Ze'ev,הכינור 15,"הכינור 15, גבעת זאב",SAME,,https://meshelanu.co.il/BusinessPage?slug=business-mukz2t,https://www.kosharot.co.il/index2.php?id=443930&lang=HEB,,FALSE,
67,היימיש סושי,ביתר עילית,Beitar Illit,פנים מאירים 3,,AMBIGUOUS,,,,"פנים מאירים 3, ביתר עילית (https://easy.co.il/page/10150036); כנסת מרדכי 7, ביתר עילית (https://www.mishloha.co.il/r/inactive/%D7%94%D7%99%D7%99%D7%9E%D7%99%D7%A9%20%D7%A1%D7%95%D7%A9%D7%99%20%D7%91%D7%99%D7%AA%D7%A8%20%D7%A2%D7%99%D7%9C%D7%99%D7%AA); רבי אלעזר המודעי 7, ביתר עילית (https://www.rest.co.il/rest/80386874/)",FALSE,"sources disagree on address; one listing (mishloha) marked inactive, possibly a relocation"
68,תמר,ביתר עילית,Beitar Illit,רבי עקיבא 23,,NOT_FOUND,,,,,FALSE,"no credible business listing found for a catering/platters business named תמר in Beitar Illit; results returned unrelated businesses (clinic, post office, library) sharing the name"
69,מאפיית מן הארץ,ביתר עילית,Beitar Illit,אלעזר המודעי 17,,AMBIGUOUS,,,,"אלעזר המודעי 17, ביתר עילית (https://beitar24.co.il/b/listing/4720); אלעזר המודעי 15, ביתר עילית (https://www.badatz.biz/biz/%D7%9E%D7%90%D7%A4%D7%99%D7%AA-%D7%9E%D7%9F-%D7%94%D7%90%D7%A8%D7%A5-%D7%A2%D7%95%D7%96%D7%99-%D7%97%D7%99%D7%98%D7%9E%D7%9F/)",FALSE,"sources disagree on house number (15 vs 17), same street"
70,קצפת,ביתר עילית,Beitar Illit,בנין דוד 8,"בניין דוד 8, ביתר עלית",SAME,street spelling variant,https://www.xn----8hcbjj5cq0blc.co.il/opening_hours.asp?eid=46843&eSnifName=%D7%92%D7%9C%D7%99%D7%93%D7%A8%D7%99%D7%99%D7%AA+%D7%A7%D7%A6%D7%A4%D7%AA+%D7%91%D7%99%D7%AA%D7%A8+%D7%A2%D7%9C%D7%99%D7%AA,https://katsefet.co.il/%D7%A1%D7%A0%D7%99%D7%A4%D7%99%D7%9D/,,FALSE,
71,יוסלה,ביתר עילית,Beitar Illit,"הר""ן 14","הר""ן 14, ביתר עילית",SAME,,https://www.d.co.il/80351674/30455/,https://beitar24.co.il/b/listing/4648/,,FALSE,
72,פיצה האט,ביתר עילית,Beitar Illit,הרב ברים 4,"הרב ברים 4, ביתר עילית",SAME,,https://www.pizzahut.co.il/branch/%D7%91%D7%99%D7%AA%D7%A8-%D7%A2%D7%9C%D7%99%D7%AA/,https://www.d.co.il/80368810/39460/,,FALSE,
73,פיצה האט,בני ברק,Bnei Brak,ז'בוטינסקי 2,"זאב ז'בוטינסקי 2, בני ברק",SAME,one source names the street more fully than the other,https://easy.co.il/en/page/26519280,https://www.waze.com/live-map/directions/%D7%A4%D7%99%D7%A6%D7%94-%D7%94%D7%90%D7%98-%D7%91%D7%A0%D7%99-%D7%91%D7%A8%D7%A7-2-%D7%96%D7%90%D7%91-%D7%96%D7%91%D7%95%D7%98%D7%99%D7%A0%D7%A1%D7%A7%D7%99-2,,FALSE,
74,זיסלק,בני ברק,Bnei Brak,רבי עקיבא 76,"רבי עקיבא 76, בני ברק",SAME,,https://easy.co.il/page/27042793,https://www.kosharot.co.il/index2.php?id=428582&lang=HEB,,FALSE,
75,מושיקו מבית מונטה קרלו,בני ברק,Bnei Brak,אברבנאל 72,"אברבנאל 72, בני ברק",SAME,,https://www.kosharot.co.il/index2.php?id=432552&lang=HEB,,,FALSE,
76,פיצוחי אביב,בני ברק,Bnei Brak,אברבנאל 72,"אברבנאל 72, בני ברק",SAME,,https://www.kosharot.co.il/index2.php?id=432554&lang=HEB,,,FALSE,
77,טייסטי מיט,בני ברק,Bnei Brak,הרב קוק 4,"הרב אברהם יצחק הכהן קוק 4, בני ברק",SAME,one source names the street more fully than the other,https://easy.co.il/en/page/27203723,https://www.kosharot.co.il/index2.php?id=436452&lang=HEB,,FALSE,"chain also has a Ramat Gan branch (different city), not a conflict for this row"
78,קצפת,בני ברק,Bnei Brak,זבוטינסקי 9 מגדל הכשרת היישוב,"מגדל הכשרת היישוב, 9 זאב ז'בוטינסקי, בני ברק",SAME,one source names the street more fully than the other,https://www.waze.com/live-map/directions/%D7%9E%D7%92%D7%93%D7%9C-%D7%94%D7%9B%D7%A9%D7%A8%D7%AA-%D7%94%D7%99%D7%99%D7%A9%D7%95%D7%91-%D7%96%D7%90%D7%91-%D7%96%D7%91%D7%95%D7%98%D7%99%D7%A0%D7%A1%D7%A7%D7%99-9-%D7%91%D7%A0%D7%99-%D7%91%D7%A8%D7%A7?to=place.w.22806849.228265097.539925,https://www.kosharot.co.il/index2.php?id=429779&lang=HEB,,FALSE,evidence is a mapping service (Waze) rather than a business-listing site; no dedicated listing page found with the street number
79,הערינגס',בני ברק,Bnei Brak,זבוטינסקי 7,"דרך זאב ז'בוטינסקי 7, בני ברק",SAME,one source names the street more fully than the other,https://easy.co.il/en/page/27078774,https://www.herings.co.il/,,FALSE,
80,מעדנייה בסביבה,בני ברק,Bnei Brak,חלוצים 19,,NOT_FOUND,,,,,FALSE,no listing found under this business name in Bnei Brak; search surfaced only unrelated delis
81,פיצה טוונטי פייב,בני ברק,Bnei Brak,הרב כהנמן 100,"כהנמן 100, בני ברק",SAME,one source names the street more fully than the other,https://www.d.co.il/80189182/39460/,https://www.rest.co.il/rest/80189182/; https://easy.co.il/en/page/26125151,,FALSE,
82,מסעדת פרמזן,בני ברק,Bnei Brak,מצדה 9 ב',"מצדה 9, בני ברק",SAME,,https://easy.co.il/page/10134931,https://parmesan.co.il/; https://www.kosharot.co.il/index2.php?id=436453&lang=HEB,,FALSE,
83,קצפת,גבעת שמואל,Givat Shmuel,זבוטינסקי 514,,AMBIGUOUS,,,,"ז'בוטינסקי 406, גבעת שמואל (https://easy.co.il/en/page/26955629); מתחם פארק ה-100, גבעת שמואל (https://www.xn----8hcbjj5cq0blc.co.il/opening_hours.asp?eid=39171&eSnifName=%D7%92%D7%9C%D7%99%D7%93%D7%A8%D7%99%D7%99%D7%AA+%D7%A7%D7%A6%D7%A4%D7%AA+); ז'בוטינסקי 514, גבעת שמואל (per d.co.il snippet) (https://www.d.co.il/80344572/9010163/)",FALSE,sources disagree on street number / complex name for this branch
84,וי אר בית מאפה,חיפה,Haifa,האצטדיון 25 קרית חיים,"האיצטדיון 25, קרית חיים",SAME,street spelling variant,https://www.vainerbakery.com/,https://www.zooz360.co.il/biz/VAINERBAKERY/; https://www.rest.co.il/rest/80291540/,,FALSE,"business is branded 'Vainer' (ויינר), matches corpus phone"
85,ויינר איטליאנו,חיפה,Haifa,האצטדיון 25 קרית חיים,"האיצטדיון 25, חיפה (קרית חיים)",SAME,street spelling variant,https://www.d.co.il/80371433/30442/,https://easy.co.il/en/page/27170117; https://www.rest.co.il/rest/80371433/; https://www.vaineritaliano.com/,,FALSE,
86,פיצה העמק,חצור הגלילית,Hatzor HaGlilit,בן גוריון 9,"בן גוריון 9, חצור הגלילית",SAME,,https://www.d.co.il/80304068/39460/,https://openinghours.co.il/%D7%A4%D7%99%D7%A6%D7%94-%D7%94%D7%A2%D7%9E%D7%A7-%D7%97%D7%A6%D7%95%D7%A8-%D7%94%D7%92%D7%9C%D7%99%D7%9C%D7%99%D7%AA-%D7%91%D7%9F-%D7%92%D7%95%D7%A8%D7%99%D7%95%D7%9F-9-10300,,FALSE,
