"name","address","city","opening_hours","certificate","phone","category","source_url"
"רוזה","ז'בוטינסקי 45, אשדוד","אשדוד","א'-ד' 13:00-22:30
יום ה' 12:00-23:00","בית יוסף","08-618-1717","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A8%D7%95%D7%96%D7%94-1"
"באבו","אורט 29, אשקלון","אשקלון","א'-ד' 11:30-23:00
יום ה' 11:30-23:30","בית יוסף","077-507-0010","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%91%D7%90%D7%91%D7%95"
"ג'פאן ג'פאן","הנמל 9, מרינה אשקלון","אשקלון","בימים א'-ד'
11:30-23:00
חמישי-11:30-00:00
שישי-סגור
שבת-שעה מצאת שבת-00:00","בית יוסף","3304*","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%92-%D7%A4%D7%90%D7%9F-%D7%92-%D7%A4%D7%90%D7%9F-1"
"הגחלים","הגבורה 1, אשקלון","אשקלון","א'-ה' 11:00-23:00","בד""ץ הדר הכשרות של הרב יצחק ברדא","08-671-0230","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%94%D7%92%D7%97%D7%9C%D7%99%D7%9D"
"ג'פאן ג'פאן","ראובן רובין 5 מתחם הבלוק, באר שבע","באר שבע","א'-ד': 11:30-23:00
ה': 11:30-00:00
שישי: סגור
שבת: שעה אחרי צאת שבת-00:00","בית יוסף","3304*","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%92-%D7%A4%D7%90%D7%9F-%D7%92-%D7%A4%D7%90%D7%9F-3"
"אלמה","דרך יצחק רבין 19, בית שמש","בית שמש","א'-ה' 13:00-22:30","הרב מחפוד","02-544-9986","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%90%D7%9C%D7%9E%D7%94"
"ג'פאן ג'פאן","יגאל אלון 3, קניון ביג פאשן, בית שמש","בית שמש","א'-ד': 11:00-23:30
ה'-11:00-00:00
שישי: 11:00-14:30
שבת: שעה מצאת השבת-00:00","בית יוסף","3304*","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%92-%D7%A4%D7%90%D7%9F-%D7%92-%D7%A4%D7%90%D7%9F"
"מסובין","יגאל אלון 2 , מתחם פז בכניסה לבית שמש","בית שמש","א'-ה' 18:00-23:00","הרב לנדא","02-9911778","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%9E%D7%A1%D7%95%D7%91%D7%99%D7%9F"
"אגאדיר","מצדה 7, בסר 4, בני ברק","בני ברק","א'-ד' 12:00-24:00
יום ה' 12:00-01:00","הרב מחפוד","5690*","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%90%D7%92%D7%90%D7%93%D7%99%D7%A8"
"בסרייה","מצדה 12 בני ברק","בני ברק","א'-ד' 17:00-23:00
ה' 17:00-24:00","הרב לנדא","03-6035586","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%91%D7%A1%D7%A8%D7%99%D7%99%D7%94"
"בציר","מצדה 9, ב, בני ברק,","בני ברק","א'-ד' 12:00-23:30
יום ה' 12:00-01:30","קהילות","053-326-6463","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%91%D7%A6%D7%99%D7%A8"
"נגיסה","בן גוריון 13 בני ברק/רמת גן","בני ברק","ראשון-חמישי: 11:00-23:30
יום שישי: סגור
מוצש:  חצי שעה מצאת שבת ועד השעה 00:00","בית יוסף","077-7000333","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A0%D7%92%D7%99%D7%A1%D7%94"
"ג'פאו ג'פאן","רח' מוטה גור 14, מתחם עמי בוטיק, גבעת שמואל","גבעת שמואל","א'-ד': 11:00-23:00
ה': 11:00-23:00
שישי: 10:30-14:30
שבת: חצי שעה מצאת השבת-00:00","בית יוסף","3304*","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%92-%D7%A4%D7%90%D7%95-%D7%92-%D7%A4%D7%90%D7%9F"
"מטבל","יוני נתניהו 31, גבעת שמואל","גבעת שמואל","א' – ה': 11:00-23:00
ו' – 06:00-14:00","הרב מחפוד","073-7578918","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%9E%D7%98%D7%91%D7%9C"
"לחם בשר","השונית 2, מרינה, הרצליה פיתוח","הרצליה","יום א’ – יום ה’ 12:00-24:00
יום ו’ 12:00 – שעתיים לפני כניסת השבת
שבת שעה אחרי צאת שבת – 24:00
*השעות משתנות בקיץ או בהתאם לעונות*","הרב מחפוד","077-2307592","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%9C%D7%97%D7%9D-%D7%91%D7%A9%D7%A8-2"
"פאפגיו","השונית 2, הרצליה","הרצליה","א'-ה' 13:00-23:00
ימי שישי 12:00-15:00","הרב רפאל מנת","09-9564000","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A4%D7%90%D7%A4%D7%92%D7%99%D7%95"
"רובן","הגליל 100, נווה שאנן, חיפה","חיפה","א'-ד': 11:00-23:00
ה': 11:00-00:00
ו': 11:00-15:00
שבת: כשעה וחצי לאחר צאת שבת עד חצות","הרב מחפוד","04-6665265","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A8%D7%95%D7%91%D7%9F-4"
"ג'פאן ג'פאן","יהודה הלוי 1, מתחם ביג, טבריה","טבריה","א'-ה': 11:00-22:00
שישי: 11:00-14:00
שבת: שעה מצאת השבת-22:30","בית יוסף","3304*","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%92-%D7%A4%D7%90%D7%9F-%D7%92-%D7%A4%D7%90%D7%9F-5"
"סול","הבנים 17 טבריה","טבריה","א'-ה' 12:00-22:00","הרב לנדאו","04-6773444","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A1%D7%95%D7%9C"
"אלישע","הרטום 7, ירושלים","ירושלים","א'-ה' 10:00-23:00","הרב מחפוד","02-582-0058","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%90%D7%9C%D7%99%D7%A9%D7%A2"
"אנטריקוט","קרית המדע 22, הר חוצבים, ירושלים","ירושלים","א'-ה' 12:30-23:00","העדה החרדית","073-7027317","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%90%D7%A0%D7%98%D7%A8%D7%99%D7%A7%D7%95%D7%98"
"בורגרס בר - בן יהודה","בן יהודה 2 ירושלים,","ירושלים","","הרב מחפוד","","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%91%D7%95%D7%A8%D7%92%D7%A8%D7%A1-%D7%91%D7%A8-1"
"בורגרס בר - גבעת שאול","בית הדפוס 12 ירושלים,","ירושלים","","הרב מחפוד","","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%91%D7%95%D7%A8%D7%92%D7%A8%D7%A1-%D7%91%D7%A8-1"
"בורגרס בר - גילה","הגננת 216, ירושלים,","ירושלים","","הרב מחפוד","","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%91%D7%95%D7%A8%D7%92%D7%A8%D7%A1-%D7%91%D7%A8-1"
"בורגרס בר - המושבה הגרמנית","עמק רפאים 31, ירושלים,","ירושלים","","בית יוסף","","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%91%D7%95%D7%A8%D7%92%D7%A8%D7%A1-%D7%91%D7%A8-1"
"בורגרס בר - הרובע היהודי","תפארת ישראל 12, ירושלים.","ירושלים","","הרב מחפוד","","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%91%D7%95%D7%A8%D7%92%D7%A8%D7%A1-%D7%91%D7%A8-1"
"בורגרס בר - יפו","יפו 36 , ירושלים","ירושלים","","בית יוסף","","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%91%D7%95%D7%A8%D7%92%D7%A8%D7%A1-%D7%91%D7%A8-1"
"בורגרס בר - מחנה יהודה","עץ חיים 68, ירושלים","ירושלים","","הרב מחפוד","","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%91%D7%95%D7%A8%D7%92%D7%A8%D7%A1-%D7%91%D7%A8-1"
"ג'וי","שדרות ממילא 13, ירושלים","ירושלים","א’-ה’  00:00 - 12:00","בית יוסף","02-5020555","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%92-%D7%95%D7%99"
"ג'פאן ג'פאן - סניף 1","דרך חברון 101, ירושלים[בית הנציב]","ירושלים","א'-ד': 11:00-23:30
ה': 11:00-00:00
שישי: 10:30 - שעה לפני כניסת השבת
שבת: חצי שעה מצאת השבת-00:00","בית יוסף","3304*","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%92-%D7%A4%D7%90%D7%9F-%D7%92-%D7%A4%D7%90%D7%9F-4"
"ג'פאן ג'פאן - סניף 2","רח' ההגנה 21, ירושלים[הגבעה הצרפתית]","ירושלים","א'-ד': 11:00-23:30
ה': 11:00-00:00
שישי: 10:30 - שעה לפני כניסת השבת
שבת: חצי שעה מצאת השבת-00:00","בית יוסף","3304*","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%92-%D7%A4%D7%90%D7%9F-%D7%92-%D7%A4%D7%90%D7%9F-4"
"גריל בר","הסורג 1, ירושלים","ירושלים","ימים א'-ה': שעות 12:00-23:00","הרב מחפוד","02-6223761","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%92%D7%A8%D7%99%D7%9C-%D7%91%D7%A8"
"החברים - סניף 1","דרך רבין 10, ירושלים , מתחם סינמה סיטי","ירושלים","א'-ה' 12:00-23:00","בית יוסף","02-6230066","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%94%D7%97%D7%91%D7%A8%D7%99%D7%9D-1"
"החברים - סניף 2","גולדה מאיר 255 ירושלים קניון רמות","ירושלים","א'-ה' 12:00-23:00","הרב לנדאו","077-938-6151","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%94%D7%97%D7%91%D7%A8%D7%99%D7%9D-1"
"נויה","שלומציון המלכה 3, ירושלים","ירושלים","ראשון עד חמישי 13:00-23:00
שישי סגור","קהילות","","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A0%D7%95%D7%99%D7%94"
"פירסט","בן מימון 1 ירושלים","ירושלים","א'-ה' 12:30-23:00","הרב מחפוד","055-500-4280","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A4%D7%99%D7%A8%D7%A1%D7%98"
"ציון הגדול","גולדה מאיר 255, קניון רמות, ירושלים","ירושלים","ראשון-חמישי 10:00 – 23:00","הרב מחפוד","073-7578851","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A6%D7%99%D7%95%D7%9F-%D7%94%D7%92%D7%93%D7%95%D7%9C"
"קבלרו","המרפא 1, ירושלים","ירושלים","א-ה : 18:00-22:45","העדה החרדית","02-53-770-00","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A7%D7%91%D7%9C%D7%A8%D7%95"
"רובן","כנפי נשרים 24, ירושלים","ירושלים","ראשון – רביעי: 12:00-23:30
חמישי: 12:00-00:00
שישי: סגור
מוצ""ש: כשעה וחצי לאחר צאת השבת ועד חצות","הרב מחפוד","02-647-5500","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A8%D7%95%D7%91%D7%9F-1"
"רודריגז","מגדל ג.ט.י, קרית המדע 3, ירושלים","ירושלים","א'-ה' 18:00-23:00","הרב רובין","02-5815815","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A8%D7%95%D7%93%D7%A8%D7%99%D7%92%D7%96"
"רובן","רפפורט 3, קניון הירוקה, כפר סבא","כפר סבא","ראשון – רביעי: 12:00-23:00
חמישי: 12:00-00:00
שישי: 12:00-15:30
מוצ""ש – כשעה וחצי לאחר צאת השבת ועד חצות","הרב מחפוד","09-7424666","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A8%D7%95%D7%91%D7%9F"
"גריל בר","הראל 5, מבשרת ציון","מבשרת ציון","ימים א'-ה': שעות 12:00-23:00","הרב מחפוד","02-6223761","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%92%D7%A8%D7%99%D7%9C-%D7%91%D7%A8-1"
"בורגרס בר","עמק דותן 23 , מרכז מליבו, מודיעין","מודיעין","א'-ה' 11:00-23:00","בית יוסף","2242*","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%91%D7%95%D7%A8%D7%92%D7%A8%D7%A1-%D7%91%D7%A8"
"רוזה","שדרות המלאכות 1 מודיעין","מודיעין","א’-ה’ 23:00-11:30
ו’-ש' סגור","הרב מחפוד","072-397-5150","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A8%D7%95%D7%96%D7%94"
"רובן","שדרות הגעתון 35, נהריה","נהריה","א'- ד': 11:30-23:30
ה': 11:30-00:00
ן': 11:30-14:00
מוצ""ש: שעה לאחר צאת שבת עד 00:00","הרב מחפוד","077-9800370","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A8%D7%95%D7%91%D7%9F-3"
"רובן","המלאכה 25, עפולה","עפולה","ראשון – רביעי: 11:30-22:30
ימי חמישי: 11:30-23:00
ימי שישי: סגור.
מוצ""ש: כשעה לאחר צאת השבת ועד 23:30","מהדרין עפולה","04-300-9009","בשרי","https://www.misadotmehadrin.co.il/%D7%9E%D7%A1%D7%A2%D7%93%D7%95%D7%AA-%D7%9B%D7%A9%D7%A8%D7%95%D7%AA-%D7%9C%D7%9E%D7%94%D7%93%D7%A8%D7%99%D7%9F/%D7%A8%D7%95%D7%91%D7%9F-6"
